"Geographic_Area","Total","No","Yes"
"KMA-Subin",67518,59306,8212
"KMA-Manhyia South",33987,30324,3663
"KMA-Manhyia North",79992,67964,12028
"KMA-Bantama",107021,94139,12882
"Kwadaso Municipal",135835,121974,13861
"Suame Municipal",117546,103137,14409
"Old Tafo Municipal",99063,85279,13784
"Asokore Mampong Municipal",165280,134837,30443
"Kwabre East",251719,210086,41633
"Afigya Kwabre South",197973,164250,33723
"Atwima Nwabiagya North",131897,107134,24763
"Atwima Nwabiagya South Municipal",138516,113890,24626
"Atwima Mponua",130486,80526,49960
"Ahafo Ano South West",55501,33923,21578
"Ahafo Ano North Municipal",78239,52512,25727
"Ahafo Ano South East",53077,32147,20930
"Offinso North",69571,36898,32673
"Offinso Municipal",115588,79052,36536
"Afigya Kwabre North",61228,43865,17363
"Sekyere South",102453,78211,24242
"Mampong Municipal",99886,72902,26984
"Ejura Sekyedumase Municipal",113791,67238,46553
"Sekyere Central",61424,35371,26053
"Sekyere Afram Plains",27121,9809,17312
"Western North",749168,471079,278089
"Aowin Municipal",113396,62396,51000
"Sefwi Akontombra",56738,32211,24527
"Suaman",33065,21474,11591
"Bodi",56290,34518,21772
"Sefwi Wiawso Municipal",129961,90352,39609
"Bibiani Anhwiaso Bekwai Municipal",142752,101985,40767
"Juaboso",75647,47266,28381
"Bia West",96933,55450,41483
"Bia East",44386,25427,18959
"Ahafo",480708,326540,154168
"Asunafo South",77812,51718,26094
"Asunafo North Municipal",128786,88446,40340
"Asutifi South",56858,37758,19100
"Asutifi North",62748,43245,19503
"Tano North Municipal",80359,56144,24215
"Tano South Municipal",74145,49229,24916
"Bono",1036053,736405,299648
"Dormaa West",40151,25929,14222
"Dormaa Central Municipal",96772,70810,25962
"Dormaa East",58750,41659,17091
"Sunyani Municipal",167690,138213,29477
"Sunyani West Municipal",118184,88562,29622
"Berekum East Municipal",92680,75710,16970
"Berekum West",42867,31500,11367
"Jaman South",93552,63251,30301
"Jaman North",98714,67403,31311
"Tain",97903,54732,43171
"Wenchi Municipal",104857,66127,38730
"Banda",23933,12509,11424
"Bono East",1002548,569502,433046
"Nkoranza South Municipal",96941,62150,34791
"Techiman Municipal",205687,151201,54486
"Nkoranza North",47630,27362,20268
"Techiman North",86769,60137,26632
"Atebubu Amantin Municipal",118960,60027,58933
"Sene West",57955,24673,33282
"Sene East",58109,23166,34943
"Pru West",58026,24874,33152
"Pru East",82945,39249,43696
"Kintampo South",73533,37183,36350
"Kintampo North Municipal",115993,59480,56513
"Oti",616851,303959,312892
"Biakoye",60758,36565,24193
"Jasikan Municipal",51301,35433,15868
"Kadjebi",62302,40381,21921
"Krachi East Municipal",89444,40752,48692
"Krachi West Municipal",51724,26364,25360
"Krachi Nchumuru",65303,25916,39387
"Nkwanta South Municipal",111510,48114,63396
"Nkwanta North (Kpassa)",99790,31877,67913
"Guan",24719,18557,6162
"Northern",1828505,788380,1040125
"Kpandai",101761,37162,64599
"Nanumba South",81362,25260,56102
"Nanumba North Municipal",147632,50952,96680
"Zabzugu",63185,19779,43406
"Tatale Sanguli",58438,18358,40080
"Saboba",78267,29424,48843
"Yendi Municipal",124289,55546,68743
"Mion",74183,17399,56784
"Nanton",39171,12857,26314
"Tamale Metropolitan Area (TMA)",306451,187336,119115
"TMA-Tamale South",199809,111781,88028
"TMA-Tamale Central",106642,75555,31087
"Sagnarigu Municipal",279066,184748,94318
"Tolon",91637,29691,61946
"Kumbungu",85502,31419,54083
"Savelugu Municipal",97657,40745,56912
"Karaga",85838,20177,65661
"Gushegu Municipal",114066,27527,86539
"Savannah",521422,187783,333639
"Bole",95212,43369,51843
"Sawla Tuna Kalba",91820,26076,65744
"North Gonja",47728,12370,35358
"West Gonja",52372,26991,25381
"Central Gonja",109438,33505,75933
"East Gonja Municipal",95399,38774,56625
"North East Gonja",29453,6698,22755
"North East",522717,203298,319419
"Mamprugu Moagduri",52976,14312,38664
"West Mamprusi Municipal",139502,62598,76904
"East Mamprusi Municipal",148796,55416,93380
"Bunkpurugu Nakpanduri",69376,37222,32154
"Yunyoo Nasuan",44688,14170,30518
"Chereponi",67379,19580,47799
"Upper East",1097541,527155,570386
"Builsa South",30877,11340,19537
"Builsa North Municipal",48511,23791,24720
"Kasena Nankana Municipal",86077,51518,34559
"Kasena Nankana West",76974,39798,37176
"Bolgatanga Municipal",120864,78107,42757
"Talensi",73545,36071,37474
"Bolgatanga East",33204,21394,11810
"Bongo",98289,46818,51471
"Nabdam",45715,21481,24234
"Bawku West",120238,45227,75011
"Binduri",64780,23541,41239
"Bawku Municipal",99916,52460,47456
"Garu",60405,22944,37461
"Tempane",72622,25228,47394
"Pusiga",65524,27437,38087
"Upper West",754267,340794,413473
"Wa West",81341,24751,56590
"Wa East",74629,21895,52734
"Wa Municipal",168605,113325,55280
"Nadowli Kaleo",65004,28754,36250
"Daffiama Bussie Issa",32415,10862,21553
"Sissala East Municipal",65866,30443,35423
"Sissala West",52140,20943,31197
"Jirapa Municipal",77716,31739,45977
"Lawra Municipal",49924,22315,27609
"Lambussie Karni",42744,16024,26720
"Nandom",43883,19743,24140
