"Geographic_Area","Total","Yes"
"Ghana",26210872,1521385
"Western",1764583,84332
"Jomoro Municipal",107360,3171
"Ellembelle",102571,3420
"Nzema East Municipal",80117,1999
"Ahanta West Municipal",130920,5299
"Effia Kwesimintsim Municipal",152451,19266
"Sekondi Takoradi Metropolitan Area (STMA)",215264,21202
"STMA-Takoradi",44097,4743
"STMA-Sekondi",48664,5694
"STMA-Essikado-Ketan",122503,10765
"Shama",99730,4084
"Wassa East",84501,1995
"Mpohor",44877,1108
"Tarkwa-Nsuaem Municipal",188830,10308
"Prestea/Huni Valley Municipal",194660,5275
"Wassa Amenfi East Municipal",153172,3358
"Wassa Amenfi Central",99177,1761
"Wassa Amenfi West Municipal",110953,2086
"Central",2452182,143794
"Komenda Edina Eguafo Abirem Municipal",142292,6206
"Cape Cape Metropolitan Area (CCMA)",167745,27586
"CCMA-Cape Coast South",62797,8078
"CCMA-Cape Coast North",104948,19508
"Abura Asebu Kwamankese",106380,3948
"Mfantsiman Municipal",145110,5774
"Ekumfi",48447,1302
"Gomoa West",110416,3299
"Effutu Municipal",97144,30975
"Gomoa Central",70506,2798
"Gomoa East",263330,14031
"Awutu Senya East Municipal",204402,12013
"Awutu Senya",135918,4171
"Agona East",85169,2808
"Agona West Municipal",118556,5096
"Asikuma Odoben Brakwa",108191,2629
"Ajumako Enyan Essiam",102534,4499
"Assin South",89638,2113
"Twifo Heman Lower Denkyira",56686,1469
"Twifo Ati Morkwa",85683,2431
"Assin Fosu Municipal",75269,3963
"Assin North",68643,1603
"Upper Denkyira East Municipal",93376,3358
"Upper Denkyira West",76747,1722
"Greater Accra",4766249,506923
"Ga South Municipal",299902,21452
"Weija Gbawe Municipal",186046,19274
"Ga Central Municipal",289771,32233
"Ablekuma North Municipal",140678,14601
"Ablekuma West Municipal",134698,14221
"Ablekuma Central Municipal",149506,12700
"Accra Metropolitan Area (AMA)",251702,21499
"AMA-Ablekuma South",97130,10325
"AMA-Ashiedu Keteke",78046,2203
"AMA-Okaikoi South",76526,8971
"Korle Klottey Municipal",59873,7688
"Ayawaso Central Municipal",84582,8080
"Ayawaso East Municipal",46930,3015
"Ayawaso North Municipal",56387,3531
"La Dade-Kotopon Municipal",124714,19898
"Ledzokuku Municipal",192750,20057
"Krowor Municipal",127155,17705
"Adentan Municipal",233959,37083
"Ayawaso West Municipal",69290,23050
"Okaikoi North Municipal",142721,18142
"Ga North Municipal",206218,24318
"Ga West Municipal",268936,16274
"Ga East Municipal",249551,37653
"La Nkwantanang Madina Municipal",194492,30202
"Kpone Katamanso Municipal",352876,24555
"Ashaiman Municipal",180892,11625
"Tema West Municipal",173122,29438
"Tema Metropolitan Area (TMA)",156758,13920
"TMA-Tema Central",59287,9633
"TMA-Tema East",97471,4287
"Ningo-Prampram",174985,16189
"Shai-Osudoku",90167,4111
"Ada West",62698,1989
"Ada East",64890,2420
"Volta",1433518,61954
"South Tongu",97096,2483
"Anloga",82806,2501
"Keta Municipal",69270,3005
"Ketu South Municipal",215182,5694
"Ketu North Municipal",98809,2678
"Akatsi North",28145,750
"Akatsi South Municipal",79487,2643
"Central Tongu",71441,2188
"North Tongu",94048,2770
"Ho West",72622,2403
"Adaklu",33122,823
"Agortime-Ziope",34327,1079
"Ho Municipal",159176,19035
"South Dayi",49981,2603
"Afadzato South",63202,1623
"North Dayi",34416,1103
"Kpando Municipal",51247,2007
"Hohoe Municipal",99141,6566
"Eastern",2526584,112002
"Birim South",30839,1218
"Birim Central Municipal",66226,4122
"Achiase",48212,1335
"Asene Manso Akroso",66299,1386
"West Akim Municipal",101863,3017
"Upper West Akim",81924,1613
"Ayensuano",80628,1749
"Nsawam Adoagyiri Municipal",133811,5742
"Akwapim South Municipal",67417,5125
"Akwapim North Municipal",92711,7440
"Okere",44829,1304
"New Juaben South Municipal",115142,15782
"New Juaben North Municipal",78498,6551
"Suhum Municipal",109269,3936
"Abuakwa North Municipal",66596,3098
"Abuakwa South Municipal",77592,3118
"Denkyembuor",67075,3066
"Akyemansa",77837,1673
"Kwaebibirem Municipal",105050,2955
"Birim North",70396,3085
"Atiwa West",52185,1126
"Atiwa East",54982,1449
"Fanteakwa South",47182,1673
"Yilo Krobo Municipal",106364,4558
"Lower Manya Krobo Municipal",107320,5206
"Asuogyaman",88640,5437
"Upper Manya Krobo",60435,1218
"Fanteakwa North",48855,1525
"Kwahu South Municipal",68233,2347
"Kwahu West Municipal",123911,4230
"Kwahu East",69201,3335
"Kwahu Afram Plains South",61571,1327
"Kwahu Afram Plains North",55491,1256
"Ashanti",4657976,296196
"Amansie South",96077,2155
"Amansie Central",79713,1695
"Akrofuom",42000,960
"Adansi South",72579,2024
"Adansi Asokwa",61426,1296
"Obuasi East",80113,3998
"Obuasi Municipal",91138,6531
"Adansi North",46720,2606
"Bekwai Municipal",118168,5058
"Amansie West",94921,2153
"Atwima Kwanwoma",199736,11206
"Bosomtwi",140832,7892
"Bosome Freho",52709,1097
"Asante Akim Central Municipal",78812,3281
"Asante Akim South Municipal",105085,2593
"Asante Akim North Municipal",72870,3900
"Sekyere Kumawu",54671,2187
"Sekyere East",63491,2685
"Juaben Municipal",54386,1487
"Ejisu Municipal",155104,10163
"Oforikrom Municipal",191523,57469
"Asokwa Municipal",109379,8623
"Kumasi Metropolitan Area (KMA)",390329,38312
"KMA-Nhyiaeso",101811,11969
"KMA-Subin",67518,9346
"KMA-Manhyia South",33987,3053
"KMA-Manhyia North",79992,6087
"KMA-Bantama",107021,7857
"Kwadaso Municipal",135835,21194
"Suame Municipal",117546,8542
"Old Tafo Municipal",99063,6056
"Asokore Mampong Municipal",165280,9284
"Kwabre East",251719,13841
"Afigya Kwabre South",197973,8989
"Atwima Nwabiagya North",131897,5818
"Atwima Nwabiagya South Municipal",138516,7350
"Atwima Mponua",130486,2363
"Ahafo Ano South West",55501,1321
"Ahafo Ano North Municipal",78239,2975
"Ahafo Ano South East",53077,1093
"Offinso North",69571,1544
"Offinso Municipal",115588,4984
"Afigya Kwabre North",61228,1563
"Sekyere South",102453,4456
"Mampong Municipal",99886,9934
"Ejura Sekyedumase Municipal",113791,3245
"Sekyere Central",61424,1799
"Sekyere Afram Plains",27121,474
"Western North",749168,22433
"Aowin Municipal",113396,3206
"Sefwi Akontombra",56738,1082
"Suaman",33065,1424
"Bodi",56290,1463
"Sefwi Wiawso Municipal",129961,5325
"Bibiani Anhwiaso Bekwai Municipal",142752,4680
"Juaboso",75647,1730
"Bia West",96933,2898
"Bia East",44386,625
"Ahafo",480708,18547
"Asunafo South",77812,2344
"Asunafo North Municipal",128786,4365
"Asutifi South",56858,1877
"Asutifi North",62748,2363
"Tano North Municipal",80359,4248
"Tano South Municipal",74145,3350
"Bono",1036053,62888
"Dormaa West",40151,1187
"Dormaa Central Municipal",96772,4486
"Dormaa East",58750,2188
"Sunyani Municipal",167690,19633
"Sunyani West Municipal",118184,12537
"Berekum East Municipal",92680,5805
"Berekum West",42867,1853
"Jaman South",93552,2936
"Jaman North",98714,4011
"Tain",97903,3055
"Wenchi Municipal",104857,4403
"Banda",23933,794
"Bono East",1002548,31218
"Nkoranza South Municipal",96941,3338
"Techiman Municipal",205687,8884
"Nkoranza North",47630,1047
"Techiman North",86769,3087
"Atebubu Amantin Municipal",118960,3336
"Sene West",57955,1258
"Sene East",58109,1079
"Pru West",58026,1347
"Pru East",82945,1936
"Kintampo South",73533,1462
"Kintampo North Municipal",115993,4444
"Oti",616851,14939
"Biakoye",60758,1429
"Jasikan Municipal",51301,2067
"Kadjebi",62302,1550
"Krachi East Municipal",89444,2562
"Krachi West Municipal",51724,1391
"Krachi Nchumuru",65303,1386
"Nkwanta South Municipal",111510,2341
"Nkwanta North (Kpassa)",99790,1657
"Guan",24719,556
"Northern",1828505,71050
"Kpandai",101761,2062
"Nanumba South",81362,748
"Nanumba North Municipal",147632,3020
"Zabzugu",63185,969
"Tatale Sanguli",58438,933
"Saboba",78267,2563
"Yendi Municipal",124289,2991
"Mion",74183,929
"Nanton",39171,505
