"Geographic_Area","Total","Yes"
"Tamale Metropolitan Area (TMA)",306451,20780
"TMA-Tamale South",199809,14037
"TMA-Tamale Central",106642,6743
"Sagnarigu Municipal",279066,24377
"Tolon",91637,3437
"Kumbungu",85502,2087
"Savelugu Municipal",97657,3200
"Karaga",85838,1057
"Gushegu Municipal",114066,1392
"Savannah",521422,12046
"Bole",95212,2447
"Sawla Tuna Kalba",91820,1649
"North Gonja",47728,858
"West Gonja",52372,2262
"Central Gonja",109438,1958
"East Gonja Municipal",95399,2579
"North East Gonja",29453,293
"North East",522717,11812
"Mamprugu Moagduri",52976,553
"West Mamprusi Municipal",139502,3067
"East Mamprusi Municipal",148796,4347
"Bunkpurugu Nakpanduri",69376,2073
"Yunyoo Nasuan",44688,716
"Chereponi",67379,1056
"Upper East",1097541,36322
"Builsa South",30877,689
"Builsa North Municipal",48511,1436
"Kasena Nankana Municipal",86077,6204
"Kasena Nankana West",76974,2074
"Bolgatanga Municipal",120864,7694
"Talensi",73545,1416
"Bolgatanga East",33204,1224
"Bongo",98289,1997
"Nabdam",45715,1256
"Bawku West",120238,2970
"Binduri",64780,1290
"Bawku Municipal",99916,2790
"Garu",60405,1640
"Tempane",72622,1808
"Pusiga",65524,1834
"Upper West",754267,34929
"Wa West",81341,1718
"Wa East",74629,1805
"Wa Municipal",168605,17126
"Nadowli Kaleo",65004,2744
"Daffiama Bussie Issa",32415,724
"Sissala East Municipal",65866,2826
"Sissala West",52140,1377
"Jirapa Municipal",77716,2909
"Lawra Municipal",49924,1528
"Lambussie Karni",42744,930
"Nandom",43883,1242
