name,latitude,longitude,year,count,mean,percentile90,percentile10,percentile95,percentile05,median,max,min
Ghana,6.6833,-1.6167,2018,1012,8.2742919882932746,27.854796889256711,0.056340600410026385,63.987665580479607,0.024208054985312297,0.78296068795621165,91.014461205406164,0.00065102941674537976
Ghana,6.0833,-0.25,2018,77,7.3198908575300132,23.5972263144747,0.14219431803726007,24.747226959960152,0.028080428559646951,2.9402175895732259,26.72211620840255,0.0022879070910772582
Ghana,5.5333,-0.7,2018,6,7.3079553888698561,18.831724181052255,0.23149674146303634,18.831724181052255,0.23149674146303634,2.1453768077864441,18.831724181052255,0.23149674146303634
Ghana,7.3333,-2.3333,2018,33,5.60503990794306,23.148142317366183,0.028520218271219634,33.509522536844081,0.0057793098180957013,0.39724547345413763,40.173962335545255,0.000512577147491586
Ghana,4.9268,-1.7577,2018,49,4.9018310673385619,15.245473945176041,0.098409883625467487,20.624486211246918,0.079524247708968571,2.3599157254321961,22.683254627058322,0.00078094406295830979
Ghana,5.3333,-0.6167,2018,69,4.5454976192086995,20.542351728605968,0.021769784343541411,24.922486260388649,0.015014552534284563,0.81600031774879145,31.51220894795426,0.00054419118683112823
Ghana,5.65,-0.1833,2018,100,3.8776875653826619,10.026836693830226,0.085552376084050474,11.82543944938792,0.027790728241751973,1.2010309528064065,22.923931079843825,0.00053203171541683317
Ghana,8.05,-1.7167,2018,1750,3.63458769511366,9.19386813358556,0.0908773684642683,12.361329430631086,0.024135572800671933,2.0756511095553605,36.941086832672411,0.00078412721366898173
Ghana,8.0,-2.0,2018,41620,3.5987442212041176,8.4109732592597481,0.05096533756921668,15.814784547197421,0.013979331665299792,0.74523175277683529,468.31661490792027,0.00065131764158357012
Ghana,5.5573,-0.1864,2018,158,3.4112618649023227,11.840773948532679,0.054960998272612929,17.48970663655248,0.019981435247328674,1.1842575944532581,34.819431460702688,0.0007791157930349651
Ghana,5.6167,-0.0167,2018,1047,3.3825513325365715,8.65265137175885,0.041614249960987781,16.536355721421252,0.011108558549003859,0.90921348942321678,52.359361093677833,0.00059733118162101054
Ghana,9.4333,-0.0167,2018,12,3.2826717827409206,6.49201103098295,1.2725610483219165,7.7897579545329441,0.26743453721777039,2.3442830456863941,7.7897579545329441,0.26743453721777039
Ghana,5.55,-0.2167,2018,47550,2.9537544551515147,7.3787798988579629,0.055388740531792179,13.349438438946409,0.014133568965471049,0.79589143415320118,306.30721274326822,0.00060643814330938242
Ghana,6.6,0.4667,2018,43,2.3539355069664794,5.4588885726158667,0.0018939068356939532,14.124258748004426,0.00074956864932998587,0.311271761270956,29.311767663905123,0.00059371312628730337
Ghana,5.6167,-0.05,2018,24,2.3449700874964252,5.3832285100202846,0.014651734647912591,5.4832558553805475,0.0030671239685264068,0.97382234442460192,5.5487085371863136,0.0022583843586604663
Ghana,5.1,-1.25,2018,291,2.0601315746864488,4.1316902740101265,0.029270101769077222,10.417632244477975,0.0068496891389792768,0.46659756544954,37.970893456791657,0.00062167432479759421
Ghana,5.6833,-0.1667,2018,75,1.8300141247129396,4.9375416420724028,0.035860077348844818,12.013435873915091,0.0019514397599410332,0.24101503361012044,17.621538499500843,0.00067288462754072349
Ghana,10.7856,-0.8514,2018,11,1.6409751703106097,3.069716092686344,0.34422957840837631,6.1229273278208547,0.13687678838528969,0.83705753539020022,6.1229273278208547,0.13687678838528969
Ghana,5.5833,-0.2167,2018,78,1.5211571321090718,3.8005828450751267,0.056998223487874505,4.6524678732089173,0.048114704233416433,1.0331050860993563,8.53420332815455,0.017084727316840909
Ghana,6.3167,-0.5833,2018,39,1.4916783226465649,4.63574431860756,0.1917654337948245,5.9376802029793687,0.068970250273124714,0.92936362784216642,6.8143902270293015,0.00645541850792544
Ghana,5.5345,-0.4168,2018,9,1.4847460386068154,4.0060679409864379,0.027929249396381819,4.0060679409864379,0.027929249396381819,0.92609138202733077,4.0060679409864379,0.027929249396381819
Ghana,5.5833,-0.1,2018,8,1.4499547959729238,6.6499950444556468,0.00055462937414185937,6.6499950444556468,0.00055462937414185937,0.30345991854335025,6.6499950444556468,0.00055462937414185937
Ghana,4.8833,-1.75,2018,77,1.3424614509147608,1.2955215825673663,0.023031534111875283,9.73971005769318,0.0089525890254527288,0.49236145936192982,23.372961941263217,0.0019772175316734842
Ghana,9.4,-0.8333,2018,84,1.1314706780604948,2.7041765471846424,0.043833697556089624,6.36742289226506,0.0037526688112977285,0.37357460858921471,10.602813286880316,0.000689533466612662
Ghana,6.12,1.0514,2018,15,0.98604693486531425,1.3122090381336422,0.054070756924348477,5.55658260186802,0.00070387575333891313,0.68764539726865248,5.55658260186802,0.00070387575333891313
