"","distcode","adolescent_birth_rate_12_14"
"184","Tain",0
"185","Wenchi Municipal",4.96277915632754
"186","Banda",0
"187","Nkoranza South Municipal",5.91715976331361
"188","Techiman Municipal",2.7027027027027
"189","Nkoranza North",0
"190","Techiman North",0
"191","Atebubu Amantin Municipal",0
"192","Sene West",0
"193","Sene East",4.8780487804878
"194","Pru West",0
"195","Pru East",2.79329608938547
"196","Kintampo South",0
"197","Kintampo North Municipal",0
"198","Biakoye",0
"199","Jasikan Municipal",0
"200","Kadjebi",0
"201","Krachi East Municipal",0
"202","Krachi West Municipal",0
"203","Krachi Nchumuru",0
"204","Nkwanta South Municipal",0
"205","Nkwanta North (Kpassa)",0
"206","Guan",0
"207","Kpandai",0
"208","Nanumba South",5.37634408602151
"209","Nanumba North Municipal",3.09119010819165
"210","Zabzugu",0
"211","Tatale Sanguli",0
"212","Saboba",0
"213","Yendi Municipal",7.92079207920792
"214","Mion",0
"215","Nanton",0
"216","Tamale Metropolitan Area (TMA)",0.884955752212389
"217","Sagnarigu Municipal",0
"218","Tolon",0
"219","Kumbungu",3.47222222222222
"220","Savelugu Municipal",0
"221","Karaga",0
"222","Gushegu Municipal",0
"223","Bole",0
"224","Sawla Tuna Kalba",2.60416666666667
"225","North Gonja",0
"226","West Gonja",0
"227","Central Gonja",2.5706940874036
"228","East Gonja Municipal",0
"229","North East Gonja",0
"230","Mamprugu Moagduri",0
"231","West Mamprusi Municipal",3.27868852459016
"232","East Mamprusi Municipal",1.6366612111293
"233","Bunkpurugu Nakpanduri",3.59712230215827
"234","Yunyoo Nasuan",5.05050505050505
"235","Chereponi",0
"236","Builsa South",0
"237","Builsa North Municipal",0
"238","Kasena Nankana Municipal",0
"239","Kasena Nankana West",7.09219858156028
"240","Bolgatanga Municipal",0
"241","Talensi",0
"242","Bolgatanga East",0
"243","Bongo",7.63358778625954
"244","Nabdam",0
"245","Bawku West",0
"246","Binduri",0
"247","Bawku Municipal",0
"248","Garu",0
"249","Tempane",0
"250","Pusiga",0
"251","Wa West",0
"252","Wa East",0
"253","Wa Municipal",1.57232704402516
"254","Nadowli Kaleo",8.19672131147541
"255","Daffiama Bussie Issa",0
"256","Sissala East Municipal",0
"257","Sissala West",4.739336492891
"258","Jirapa Municipal",3.23624595469256
"259","Lawra Municipal",0
"260","Lambussie Karni",0
"261","Nandom",0
