"","distcode","unemployed_disabled"
"151","Ahafo Ano South East",4.72813238770686
"152","Offinso North",4.64285714285714
"153","Offinso Municipal",6.72268907563025
"154","Afigya Kwabre North",5.48926014319809
"155","Sekyere South",4.337899543379
"156","Mampong Municipal",6.57596371882086
"157","Ejura Sekyedumase Municipal",6.40449438202247
"158","Sekyere Central",5.09803921568627
"159","Sekyere Afram Plains",2.17391304347826
"160","Aowin Municipal",7.92207792207792
"161","Sefwi Akontombra",4.86486486486486
"162","Suaman",3.04568527918782
"163","Bodi",9.09090909090909
"164","Sefwi Wiawso Municipal",4.05862457722661
"165","Bibiani Anhwiaso Bekwai Municipal",6.56934306569343
"166","Juaboso",5.71428571428571
"167","Bia West",7.75095298602287
"168","Bia East",3.82513661202186
"169","Asunafo South",4.23572744014733
"170","Asunafo North Municipal",4.7361299052774
"171","Asutifi South",7.53424657534247
"172","Asutifi North",4.71204188481675
"173","Tano North Municipal",7.49414519906323
"174","Tano South Municipal",4.05679513184584
"175","Dormaa West",1.59362549800797
"176","Dormaa Central Municipal",5.80152671755725
"177","Dormaa East",8.64553314121038
"178","Sunyani Municipal",7.79376498800959
"179","Sunyani West Municipal",6.15384615384615
"180","Berekum East Municipal",7.78210116731517
"181","Berekum West",6.34328358208955
"182","Jaman South",3.7199124726477
"183","Jaman North",7.1304347826087
"184","Tain",7.43494423791822
"185","Wenchi Municipal",3.79506641366224
"186","Banda",6.53061224489796
"187","Nkoranza South Municipal",5.09337860780985
"188","Techiman Municipal",4.68571428571429
"189","Nkoranza North",3.00751879699248
"190","Techiman North",4.70383275261324
"191","Atebubu Amantin Municipal",6.08695652173913
"192","Sene West",4.66101694915254
"193","Sene East",5.96205962059621
"194","Pru West",3.56394129979036
"195","Pru East",7.28862973760933
"196","Kintampo South",6.58307210031348
"197","Kintampo North Municipal",6.04229607250755
"198","Biakoye",5.03672612801679
"199","Jasikan Municipal",2.88248337028825
"200","Kadjebi",3.42261904761905
"201","Krachi East Municipal",4.30906389301634
"202","Krachi West Municipal",2.321083172147
"203","Krachi Nchumuru",1.55945419103314
"204","Nkwanta South Municipal",3.70762711864407
"205","Nkwanta North (Kpassa)",4.93421052631579
"206","Guan",2.13903743315508
"207","Kpandai",4.41882804995197
"208","Nanumba South",1.5748031496063
"209","Nanumba North Municipal",2.02702702702703
"210","Zabzugu",5.69395017793594
"211","Tatale Sanguli",1.27931769722815
"212","Saboba",4.40835266821346
"213","Yendi Municipal",7.03575547866205
"214","Mion",1.91897654584222
"215","Nanton",5.39419087136929
"216","Tamale Metropolitan Area (TMA)",9.05263157894737
"217","Sagnarigu Municipal",8.64661654135338
"218","Tolon",6.47482014388489
"219","Kumbungu",9.7196261682243
"220","Savelugu Municipal",5.15653775322284
"221","Karaga",3.125
"222","Gushegu Municipal",3.42741935483871
"223","Bole",9.4017094017094
"224","Sawla Tuna Kalba",6.41304347826087
"225","North Gonja",9.04761904761905
"226","West Gonja",8.29145728643216
"227","Central Gonja",8.07692307692308
"228","East Gonja Municipal",8.81147540983607
"229","North East Gonja",7.45341614906832
"230","Mamprugu Moagduri",9.30232558139535
"231","West Mamprusi Municipal",7.71992818671454
"232","East Mamprusi Municipal",11.3828786453434
"233","Bunkpurugu Nakpanduri",4.15944540727903
"234","Yunyoo Nasuan",5.50161812297735
"235","Chereponi",8.93371757925072
"236","Builsa South",5.73770491803279
"237","Builsa North Municipal",7.48407643312102
"238","Kasena Nankana Municipal",6.96576151121606
"239","Kasena Nankana West",4.87046632124352
"240","Bolgatanga Municipal",9.765625
"241","Talensi",7.34767025089606
"242","Bolgatanga East",5.67375886524823
"243","Bongo",5.69620253164557
"244","Nabdam",10.5431309904153
"245","Bawku West",7.72303595206392
"246","Binduri",13.4948096885813
"247","Bawku Municipal",11.1111111111111
"248","Garu",9.61182994454714
"249","Tempane",7.62987012987013
"250","Pusiga",7.78097982708934
"251","Wa West",4.12486064659978
"252","Wa East",7.74299835255354
"253","Wa Municipal",8.02325581395349
"254","Nadowli Kaleo",7.28862973760933
"255","Daffiama Bussie Issa",2.51798561151079
"256","Sissala East Municipal",6.90476190476191
"257","Sissala West",5.08166969147005
"258","Jirapa Municipal",6.37254901960784
"259","Lawra Municipal",7.54310344827586
"260","Lambussie Karni",2.1680216802168
"261","Nandom",7.24346076458753
