"","distcode","adolescent_birth_rate_15_19"
"1","Jomoro Municipal",84.070796460177
"2","Ellembelle",98.3606557377049
"3","Nzema East Municipal",98.8074957410562
"4","Ahanta West Municipal",92.2077922077922
"5","Effia Kwesimintsim Municipal",31.1377245508982
"6","Sekondi Takoradi Metropolitan Area (STMA)",23.5882773409578
"7","Shama",69.3548387096774
"8","Wassa East",168.949771689498
"9","Mpohor",95.0570342205323
"10","Tarkwa-Nsuaem Municipal",56
"11","Prestea/Huni Valley Municipal",62.2222222222222
"12","Wassa Amenfi East Municipal",77.2833723653396
"13","Wassa Amenfi Central",143.137254901961
"14","Wassa Amenfi West Municipal",105.902777777778
"15","Komenda Edina Eguafo Abirem Municipal",62.6185958254269
"16","Cape Coast Metropolitan Area (CCMA)",27.190332326284
"17","Abura Asebu Kwamankese",79.0229885057471
"18","Mfantsiman Municipal",44.9526813880126
"19","Ekumfi",44.3864229765013
"20","Gomoa West",83.75
"21","Effutu Municipal",50
"22","Gomoa Central",87.8378378378378
"23","Gomoa East",40.2955003357958
"24","Awutu Senya East Municipal",24.3084660519698
"25","Awutu Senya",69.7940503432494
"26","Agona East",64.8854961832061
"27","Agona West Municipal",47.8654592496766
"28","Asikuma Odoben Brakwa",88.2352941176471
"29","Ajumako Enyan Essiam",98.0966325036603
"30","Assin South",94.0665701881331
"31","Twifo Heman Lower Denkyira",75.187969924812
"32","Twifo Ati Morkwa",76.7790262172285
"33","Assin Fosu Municipal",68.1818181818182
"34","Assin North",95.2380952380952
"35","Upper Denkyira East Municipal",81.5972222222222
"36","Upper Denkyira West",150.121065375303
"37","Ga South Municipal",43.161094224924
"38","Weija Gbawe Municipal",35.7568533969011
"39","Ga Central Municipal",17.1350239890336
"40","Ablekuma North Municipal",19.0995907230559
"41","Ablekuma West Municipal",31.437125748503
"42","Ablekuma Central Municipal",16.2381596752368
"43","Accra Metropolitan Area (AMA)",36.480686695279
"44","Korle Klottey Municipal",33.2225913621262
"45","Ayawaso Central Municipal",26.7857142857143
"46","Ayawaso East Municipal",11.71875
