District,Indicator_3.7.2_adolescent_birth_rate_12_14,Indicator_3.7.2_adolescent_birth_rate_15_19,Indicator_5.b.1_phone_ownership,Indicator_7.1.1_electricity_access,Indicator_6.1.1_safe_water,Indicator_9.2.2_manufacturing_employment ,Indicator_7.1.2_clean_energy_prim,Indicator_8.7.1_child_labour,Indicator_17.8.1_internet_use,Indicator_8.5.2_unemployment_rate_disable,Indicator_6.2.1_safely_managed_sanitation
Sunyani West Municipal,0,44.38642298,27.04936831,85.21823525,97.38764726,4.278794403,36.94767207,0.636215898,77.82165186,6.153846154,69.81728471
Berekum East Municipal,0,30.43478261,26.69135614,92.45737583,99.39152459,5.314876527,34.77575982,0.461732805,84.90760538,7.782101167,70.93034679
Berekum West,0,71.16104869,25.26397688,85.77780965,99.5768486,4.751887143,22.57763752,1.630627437,75.55851951,6.343283582,57.80866721
Jaman South,2.873563218,83.33333333,26.59411818,89.14720261,98.9860583,4.861227453,16.66847728,0.822804555,72.69924068,3.719912473,55.82366589
Jaman North,0,75.75757576,25.84592882,88.51463052,99.81401885,5.396051939,14.96941643,0.579451749,71.84666017,7.130434783,41.31956598
Tain,0,86.46003263,25.7210706,72.12816312,97.75714546,2.555135797,7.871836883,2.735728616,61.28729036,7.434944238,31.80379747
Wenchi Municipal,4.962779156,63.49206349,26.32001396,79.60059845,91.33220582,4.657136186,17.9340402,3.638760712,66.9993602,3.795066414,49.7789422
Banda,0,81.48148148,24.80431026,75.48977549,89.44658945,4.02788536,9.280709281,4.059362724,57.39046457,6.530612245,20.47244094
Nkoranza South Municipal,5.917159763,122.5225225,29.69751829,79.4911699,93.43663306,3.80202533,19.82542797,2.29659508,69.64119585,5.093378608,45.70587711
Techiman Municipal,2.702702703,55.64263323,25.90088907,91.23302407,97.40785562,7.38232458,33.61570526,0.932476463,76.98522501,4.685714286,66.54276646
Nkoranza North,0,83.85093168,30.30062887,61.74093412,86.58894214,2.963041631,7.94649882,3.846718544,61.19433509,3.007518797,33.02719251
Techiman North,0,73.70184255,29.63888542,82.01379956,95.90691147,7.274369283,19.80665029,2.160123436,72.85601233,4.703832753,58.65038046
Atebubu Amantin Municipal,0,82.20858896,22.33186564,72.82126094,76.26220982,3.756757325,10.08499302,5.072190497,55.13849421,6.086956522,14.8106513
Sene West,0,86.25336927,21.5781067,62.43379875,78.4304285,5.198658908,4.688252287,5.080727109,47.48163135,4.661016949,12.5107604
Sene East,4.87804878,117.1428571,20.85683297,45.24712208,37.56117736,9.764817367,3.095057558,5.078408973,44.67895879,5.962059621,10.82099972
Pru West,0,85.16483516,22.20842078,73.29891733,65.9711766,3.593683312,5.836380584,8.283990925,48.43448837,3.5639413,8.016755742
Pru East,2.793296089,106.8965517,21.73010693,74.70478558,61.07950471,8.849449948,8.74408376,7.537463655,53.18755358,7.288629738,12.5
Kintampo South,0,123.5154394,25.77016298,68.05042903,89.95733666,3.311784838,10.24878961,4.303521063,55.87797743,6.5830721,29.73187912
Kintampo North Municipal,0,108.5164835,23.06943783,77.14478986,81.9122967,5.388458656,14.46133937,3.497870354,56.12353906,6.042296073,30.20275163
Biakoye,0,119.1860465,35.17726223,72.87427504,81.78511747,5.905152759,12.45453652,14.68835292,67.14271367,5.036726128,47.34004823
Jasikan Municipal,0,75.52870091,34.50316734,76.45985401,77.24680657,6.280587276,18.72148723,14.96470942,73.84056966,2.88248337,67.1723408
Kadjebi,0,126.6846361,30.63982886,76.2458124,89.13316583,8.52486882,14.41582915,14.98171589,69.83469467,3.422619048,64.90351243
Krachi East Municipal,0,113.9705882,24.89233781,70.81472111,67.81436534,7.833185077,8.166976321,20.59732235,51.26957494,4.309063893,29.62619423
Krachi West Municipal,0,100.5747126,23.09817255,63.64500792,71.86212361,13.23235767,9.199683043,22.57624033,56.19776172,2.321083172,25.9597497
Krachi Nchumuru,0,91.13300493,21.39095206,60.93126386,79.78460564,5.256579404,4.789356984,34.79256342,44.78055368,1.559454191,16.66666667
Nkwanta South Municipal,0,113.1339402,22.47061069,74.60001265,85.39492822,3.370905772,9.84632897,15.12669708,48.18162424,3.707627119,32.68915087
Nkwanta North (Kpassa),0,96.87034277,17.32738049,76.03460578,61.630396,2.208598206,3.973421334,27.80100813,37.17830293,4.934210526,21.96485623
Guan,0,69.23076923,44.31106472,84.37840192,78.96799477,5.333724799,15.19703897,9.868966661,80.28088821,2.139037433,63.25101364
Kpandai,0,92.46088193,18.64550687,77.59480643,64.99089542,1.260147825,2.739292218,10.09505543,40.6010813,4.41882805,19.90430622
Nanumba South,5.376344086,99.81167608,16.45016761,57.64631117,64.9026518,1.060550824,1.294124444,17.59274365,34.44268953,1.57480315,10.166446
Nanumba North Municipal,3.091190108,81.63265306,16.9949096,74.41526199,72.08611002,2.382393398,2.031882922,13.81420152,37.49253993,2.027027027,6.977117194
Zabzugu,0,120.7349081,14.54210864,63.88059701,80.34219148,1.783615271,2.613760466,8.846103812,33.96191303,5.693950178,15.77661005
Tatale Sanguli,0,104.2253521,16.30250602,44.67740692,91.13543513,2.374504304,2.651661142,10.95116871,35.02184964,1.279317697,29.46573125
Saboba,0,66.10169492,16.97117733,51.43856921,69.25868326,1.354459494,2.857698289,8.148626354,40.78326006,4.408352668,31.70550847
Yendi Municipal,7.920792079,98.062954,19.78857491,75.10035955,83.66670157,3.859969211,4.928962893,10.74250368,48.86968896,7.035755479,19.48129083
Mion,0,142.8571429,13.14035523,46.15084779,62.57389723,0.502617801,1.052426428,9.099723489,25.53089659,1.918976546,12.29456384
Nanton,0,118.6440678,20.48285048,87.00861888,70.92705487,2.41617357,1.135169224,10.6582623,35.25807526,5.394190871,18.21048482
Tamale Metropolitan Area (TMA),0.884955752,30.48448557,23.80238688,97.54737765,84.15462087,9.130620578,19.74124947,3.873015873,64.60630829,9.052631579,24.22791805
Sagnarigu Municipal,0,33.37306317,22.02410333,97.96151182,94.3517173,9.005665624,32.58185868,1.4717187,69.54759294,8.646616541,39.94036504
Tolon,0,107.7981651,17.10929662,86.68488658,34.6160153,2.233262141,4.285323859,8.132852829,35.39321146,6.474820144,8.114888831
Kumbungu,3.472222222,81.31868132,19.14027285,85.41267875,83.87568967,5.822191179,2.51660849,8.85448496,38.37219785,9.719626168,10.17367459
Savelugu Municipal,0,80.34188034,19.250737,87.76102591,81.82133264,4.447200567,3.565548913,2.293896006,43.5704782,5.156537753,12.44255035
Karaga,0,210.3250478,13.40380228,74.45087297,72.60252931,0.647072581,1.592340382,13.29332725,25.11939163,3.125,7.960242765
Gushegu Municipal,0,156.9506726,12.52125108,45.02443439,85.57828054,1.349740861,1.614479638,15.66477748,26.60634854,3.427419355,8.235755871
Bole,0,119.4539249,19.13384926,64.61569096,91.70317271,4.453004068,5.844285145,5.296347735,48.76164335,9.401709402,23.21180556
Sawla Tuna Kalba,2.604166667,112.3778502,13.72517007,33.36422205,91.41293796,4.592286016,3.68458212,17.32256751,32.04897959,6.413043478,53.03872356
North Gonja,0,163.9871383,11.28829094,61.01799577,83.74206069,3.110599078,1.534932957,17.75301205,29.2846997,9.047619048,7.092547093
West Gonja,0,93.75,17.63772916,77.8717515,85.99108104,6.094129064,9.226510841,3.321153595,55.19662266,8.291457286,19.31651749
Central Gonja,2.570694087,98.1595092,14.24852848,61.85270959,44.75683187,2.232050593,5.372857805,7.619097697,34.09821073,8.076923077,6.916912695
East Gonja Municipal,0,73.13195548,17.40536031,66.95913011,55.44431946,3.595868711,3.228346457,9.930877884,44.36724372,8.81147541,9.917141378
North East Gonja,0,123.3766234,10.63922751,50.53650877,3.271394923,0.531055184,0.575765506,6.218832502,23.14414296,7.453416149,7.351077313
Mamprugu Moagduri,0,162.1621622,13.91401615,79.46698544,83.0743267,2.07213054,2.095492581,14.2872617,28.80799533,9.302325581,9.919531822
West Mamprusi Municipal,3.278688525,121.6216216,21.29230994,83.97252621,71.25768182,4.125291357,6.57267738,6.577410744,48.21162512,7.719928187,48.09221902
East Mamprusi Municipal,1.636661211,122.7180527,18.38312677,72.69678656,68.92320165,2.925610115,5.299233491,9.166152869,40.91672103,11.38287865,26.16716256
Bunkpurugu Nakpanduri,3.597122302,54.10821643,26.55804267,70.6931955,86.32018693,4.286813903,4.142179424,4.683794466,57.45112795,4.159445407,54.5734714
Yunyoo Nasuan,5.050505051,122.923588,15.78931838,30.09057758,75.46171039,1.046667947,1.070462299,25.32363386,34.52050752,5.501618123,40.45654083
Chereponi,0,98.85057471,14.5774127,64.71450561,73.15106648,1.572674098,2.76332185,18.86392206,32.89991046,8.933717579,19.07902349
Builsa South,0,101.4492754,17.33769303,33.91665618,91.75374544,2.446395165,8.183306056,6.31496591,39.59580838,5.737704918,22.96004502
Builsa North Municipal,0,76.65505226,22.50922509,40.80141687,97.33598996,4.493419516,12.26477751,5.467304133,50.46740467,7.484076433,20.44188637
Kasena Nankana Municipal,0,63.29113924,25.93796523,61.10439513,97.94490977,4.055107876,23.08090838,5.278730099,62.05526039,6.965761511,18.67687726
Kasena Nankana West,7.092198582,84.26966292,24.90449649,42.39396411,97.36439641,3.816183816,9.262846656,5.149633503,53.69645541,4.870466321,19.20834268
Bolgatanga Municipal,0,58.9569161,22.57635206,90.85548345,99.35697988,14.9950227,38.96938987,2.195892575,66.7176009,9.765625,31.49062909
Talensi,0,102.739726,20.42902769,53.1742001,93.02522431,7.7763877,7.657581401,5.010934677,48.79490303,7.347670251,17.04104434
Bolgatanga East,0,63.06306306,27.20017256,76.95322067,99.44893461,20.27579162,24.99387705,2.411811112,65.85058959,5.673758865,19.43341276
Bongo,7.633587786,109.352518,21.99708599,57.41564702,98.92473118,28.29676953,6.502595476,6.329736759,50.14940485,5.696202532,10.89048286
Nabdam,0,85.98726115,16.47844884,51.27309599,97.99459216,6.670403587,6.004957188,2.922389013,48.09118302,10.54313099,6.5
Bawku West,0,106.1728395,18.56991503,42.95821851,97.04699486,2.696094628,7.578014448,6.049630086,41.16687787,7.723035952,23.16491228
Binduri,0,91.76470588,17.94994634,41.46986708,93.21202736,2.568767283,4.832881662,9.732584052,38.77050437,13.49480969,18.03408641
Bawku Municipal,0,27.77777778,18.44898159,83.02815197,93.07493748,6.651405726,16.45962733,3.514720199,54.58712223,11.11111111,25.64453961
Garu,0,59.45945946,17.24940272,36.99818895,96.83066707,3.137710633,6.346211893,6.500025097,40.53183754,9.611829945,43.74825175
Tempane,0,48.52320675,18.09418703,33.81077783,96.51230008,3.088538092,2.601323142,7.414687186,37.59031574,7.62987013,22.41419295
Pusiga,0,55.09641873,20.02117828,56.16014951,93.96923519,3.692930315,4.837550316,16.0445708,44.25298421,7.780979827,14.84798789
Wa West,0,82.56880734,14.93795147,40.82403337,97.83000789,3.042192959,2.587081502,13.66432176,32.99685127,4.124860647,31.20847176
Wa East,0,138.0090498,12.12787579,53.17464773,92.49424578,0.606690214,2.31853141,10.85202175,31.65742083,7.742998353,7.775947282
Wa Municipal,1.572327044,39.28571429,21.45162088,94.79172982,98.22753087,10.22902405,29.10729805,3.493449782,70.0687045,8.023255814,41.7286148
Nadowli Kaleo,8.196721311,86.8596882,21.46754819,59.94977603,97.67205104,3.916244267,7.010994978,5.62980743,47.47741875,7.288629738,28.35800625
Daffiama Bussie Issa,0,117.6470588,16.86064087,70.60197911,96.63276526,1.300893744,4.892798241,16.05561277,37.53778718,2.517985612,36.92630475
Sissala East Municipal,0,78.62407862,19.14338575,83.17320177,96.61386653,1.17741391,8.044663724,13.55090832,49.01387604,6.904761905,17.75269369
Sissala West,4.739336493,113.2686084,17.02102217,86.6182217,98.15589223,0.894928737,4.620552547,12.46697093,42.56570923,5.081669691,24.19940054
Jirapa Municipal,3.236245955,71.42857143,19.71366499,61.66798371,97.19773874,3.195896627,8.181873442,10.96127401,44.31940732,6.37254902,31.07556161
Lawra Municipal,0,65.2173913,22.29457589,62.19359157,97.67422404,5.409655606,9.913829164,6.973240548,47.67865326,7.543103448,39.47321587
Lambussie Karni,0,49.23076923,16.93468218,60.93278464,97.54915409,3.141847927,7.005029721,11.48494442,40.71691714,2.16802168,27.89673804
Nandom,0,20.92050209,19.27234019,86.10406735,99.24941678,5.693089939,9.930013186,4.576929573,48.04301545,7.243460765,63.97088556
