District,Indicator_3.7.2_adolescent_birth_rate_12_14,Indicator_3.7.2_adolescent_birth_rate_15_19,Indicator_5.b.1_phone_ownership,Indicator_7.1.1_electricity_access,Indicator_6.1.1_safe_water,Indicator_9.2.2_manufacturing_employment ,Indicator_7.1.2_clean_energy_prim,Indicator_8.7.1_child_labour,Indicator_17.8.1_internet_use,Indicator_8.5.2_unemployment_rate_disable,Indicator_6.2.1_safely_managed_sanitation
Ablekuma North Municipal,0,19.09959072,24.07598747,98.49274077,99.73401308,9.076200795,73.31079833,0.239913496,91.87324574,4.318181818,78.59773911
Ablekuma West Municipal,2.06185567,31.43712575,20.92641318,99.27960654,99.89387972,9.199246655,74.56582519,0.170419166,90.82959294,7.320441989,55.87232927
Ablekuma Central Municipal,0,16.23815968,23.23227676,98.54257719,99.46073594,9.490734309,64.46144086,0.380275936,89.40516171,6.033630069,59.70095478
Accra Metropolitan Area (AMA),1.298701299,36.4806867,22.87479573,98.44287654,99.88564077,9.482836924,53.52114114,1.040240898,84.63701283,7.904191617,48.51409425
Korle Klottey Municipal,0,33.22259136,24.37455988,96.57523387,99.48469954,6.396866841,57.96337403,0.373059084,90.72680775,4.278074866,63.55213568
Ayawaso Central Municipal,0,26.78571429,22.04445874,97.36285303,99.9448039,10.67470249,65.37364693,0.322908569,90.74379279,5.169340463,73.61156044
Ayawaso East Municipal,0,11.71875,14.32193267,98.00106768,99.82798505,11.24797407,48.14639065,0.250576326,83.61327125,4.294478528,49.37022901
Ayawaso North Municipal,0,5.405405405,17.96963334,99.05552919,99.75320361,8.380180416,57.55576649,0.27583829,88.08552738,6.705539359,57.97452024
La Dade-Kotopon Municipal,0,16.97312588,24.39298952,97.04735611,99.22021539,4.751502836,72.69278594,0.367575933,93.60911545,7.38177624,66.52363636
Ledzokuku Municipal,0,27.72073922,20.55487667,97.87116395,99.69173348,9.720477015,74.08625933,0.245042883,90.91755745,5.73372206,65.91425261
Krowor Municipal,0,13.65187713,21.44562797,98.11940613,99.74728862,11.04796711,78.87332842,0.287073813,92.4123313,7.395993837,64.00453129
Adentan Municipal,0,22.62016965,21.1630012,95.71181249,96.78204337,7.091668742,77.33265536,0.379087352,92.77393155,5.418719212,82.26794765
Ayawaso West Municipal,0,11.03752759,18.53640884,96.24768863,99.40468137,5.330444204,73.1294818,0.277920741,94.64566681,6.788511749,74.41592629
Okaikoi North Municipal,0,15.04787962,22.44982478,98.788484,99.94535931,7.798099875,75.99577948,0.314355571,92.62105766,6.601123596,78.16641182
Ga North Municipal,0,15.30153015,23.14921831,96.99111981,99.3502949,7.680816345,74.03576041,0.217232376,92.52809084,5.673758865,87.50106938
Ga West Municipal,0,30.85553997,23.71463286,96.21433259,98.45676917,8.961421118,67.09320481,0.245720259,88.16836858,6.386554622,82.06355283
Ga East Municipal,0,20.60085837,20.69418542,95.72351023,99.18018336,6.768819342,76.2925335,0.223917416,93.06273944,6.206293706,85.82182296
